linesolver
iteration 9: residue = 0.120270, energy = 310862.452029 = 310862.452031, xb = 195119.579011, voltage energy = 202349.071597, gap = 122972.365606
iteration 10: residue = 0.071287, energy = 253568.443185 = 253568.443186, xb = 198373.498143, voltage energy = 204316.360111, gap = 61137.807010
iteration 11: residue = 0.051810, energy = 218038.664319 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 12: residue = 0.034605, energy = 208589.700204 = 208589.700206, xb = 197391.402983, voltage energy = 198769.943784, gap = 12576.838024
iteration 13: residue = 0.023975, energy = 202540.597434 = 202540.597435, xb = 196252.917642, voltage energy = 195682.725740, gap = 5717.487890
iteration 14: residue = 0.017285, energy = 200446.385986 = 200446.385988, xb = 196435.937747, voltage energy = 196002.701054, gap = 3577.211548
iteration 15: residue = 0.014276, energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 16: residue = 0.008677, energy = 197917.540769 = 197917.540770, xb = 197079.627677, voltage energy = 196989.898359, gap = 748.183775
iteration 17: residue = 0.006436, energy = 197614.117840 = 197614.117842, xb = 197127.628211, voltage energy = 197074.250485, gap = 433.111905
iteration 18: residue = 0.004163, energy = 197393.064327 = 197393.064328, xb = 197008.657813, voltage energy = 196814.362352, gap = 190.111054
iteration 19: residue = 0.002808, energy = 197316.636638 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 20: residue = 0.001960, energy = 197273.195741 = 197273.195742, xb = 197262.054801, voltage energy = 197298.814150, gap = 47.900290
iteration 21: residue = 0.001289, energy = 197250.544088 = 197250.544089, xb = 197295.780350, voltage energy = 197364.460119, gap = 23.443509
iteration 22: residue = 0.000903, energy = 197241.185580 = 197241.185581, xb = 197198.148533, voltage energy = 197167.384957, gap = 12.273472
iteration 23: residue = 0.000666, energy = 197235.644407 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 24: residue = 0.000453, energy = 197233.128794 = 197233.128796, xb = 197224.479045, voltage energy = 197218.463258, gap = 2.633962
iteration 25: residue = 0.000303, energy = 197231.986592 = 197231.986594, xb = 197227.778209, voltage energy = 197224.949949, gap = 1.380125
iteration 26: residue = 0.000208, energy = 197231.366137 = 197231.366139, xb = 197231.907873, voltage energy = 197233.101634, gap = 0.652026
iteration 27: residue = 0.000150, energy = 197231.053389 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 28: residue = 0.000106, energy = 197230.902841 = 197230.902843, xb = 197229.434003, voltage energy = 197228.131172, gap = 0.166008
iteration 29: residue = 0.000077, energy = 197230.831204 = 197230.831205, xb = 197231.442653, voltage energy = 197232.146070, gap = 0.091970
iteration 30: residue = 0.000056, energy = 197230.787877 = 197230.787878, xb = 197230.586130, voltage energy = 197230.430178, gap = 0.045795
iteration 31: residue = 0.000039, energy = 197230.767943 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
