*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 3462745828
40000
1
root: 36251
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1311.63
Iter 15200000, Residual:0.0700866
Iter 15240000, Residual:0.0692753
Iter 15280000, Residual:0.065861
Iter 15320000, Residual:0.0656454
Iter 15360000, Residual:0.0667572
Iter 15400000, Residual:0.0689368
Iter 15440000, Residual:0.138461
Iter 15480000, Residual:0.0737809
Iter 15520000, Residual:0.0644239
Iter 15560000, Residual:0.0618405
Iter 15600000, Residual:0.0612349
Iter 15640000, Residual:0.0630559
Iter 15680000, Residual:0.0646424
Iter 15720000, Residual:0.0612865
Iter 15760000, Residual:0.0680338
Iter 15800000, Residual:0.0840023
Iter 15840000, Residual:0.0678228
Iter 15880000, Residual:0.0604891
Iter 15920000, Residual:0.0578591
Iter 15960000, Residual:0.0611743
Iter 16000000, Residual:0.0573107
Iter 16040000, Residual:0.0565286
Iter 16080000, Residual:0.0550228
Iter 16120000, Residual:0.0584057
Iter 16160000, Residual:0.060553
Iter 16200000, Residual:0.0571045
Iter 16240000, Residual:0.0554674
Iter 16280000, Residual:0.052991
Iter 16320000, Residual:0.0594983
Iter 16360000, Residual:0.0498919
Iter 16400000, Residual:0.05555
Iter 16440000, Residual:0.0545494
Iter 16480000, Residual:0.0536445
Iter 16520000, Residual:0.0521461
Iter 16560000, Residual:0.0580879
Iter 16600000, Residual:0.0574586
Iter 16640000, Residual:0.0656418
Iter 16680000, Residual:0.047182
Iter 16720000, Residual:0.052798
Iter 16760000, Residual:0.060652
Iter 16800000, Residual:0.0515933
Iter 16840000, Residual:0.0506323
Iter 16880000, Residual:0.0628751
Iter 16920000, Residual:0.048928
Iter 16960000, Residual:0.0527889
Iter 17000000, Residual:0.0450997
Iter 17040000, Residual:0.0493314
Iter 17080000, Residual:0.0450535
Iter 17120000, Residual:0.0439243
Iter 17160000, Residual:0.0443373
Iter 17200000, Residual:0.0463917
Iter 17240000, Residual:0.042315
Iter 17280000, Residual:0.0445177
Iter 17320000, Residual:0.0527147
Iter 17360000, Residual:0.0437377
Iter 17400000, Residual:0.0429815
Iter 17440000, Residual:0.0668066
Iter 17480000, Residual:0.0399703
Iter 17520000, Residual:0.0432737
Iter 17560000, Residual:0.0440128
Iter 17600000, Residual:0.0404008
Iter 17640000, Residual:0.0409754
Iter 17680000, Residual:0.0396821
Iter 17720000, Residual:0.0387368
Iter 17760000, Residual:0.036422
Iter 17800000, Residual:0.0526652
Iter 17840000, Residual:0.0376129
Iter 17880000, Residual:0.0412263
Iter 17920000, Residual:0.0376499
Iter 17960000, Residual:0.0371041
Iter 18000000, Residual:0.0394745
Iter 18040000, Residual:0.0381288
Iter 18080000, Residual:0.0364595
Iter 18120000, Residual:0.0368949
Iter 18160000, Residual:0.0369656
Iter 18200000, Residual:0.0333173
Iter 18240000, Residual:0.0377491
Iter 18280000, Residual:0.0360687
Iter 18320000, Residual:0.0348484
Iter 18360000, Residual:0.03329
Iter 18400000, Residual:0.0339273
Iter 18440000, Residual:0.0321391
Iter 18480000, Residual:0.0326384
Iter 18520000, Residual:0.0417734
Iter 18560000, Residual:0.0347815
Iter 18600000, Residual:0.0333087
Iter 18640000, Residual:0.0307206
Iter 18680000, Residual:0.0377962
Iter 18720000, Residual:0.0334014
Iter 18760000, Residual:0.0354249
Iter 18800000, Residual:0.0326763
Iter 18840000, Residual:0.0320654
Iter 18880000, Residual:0.0382338
Iter 18920000, Residual:0.0316479
Iter 18960000, Residual:0.0321901
Iter 19000000, Residual:0.0315944
Iter 19040000, Residual:0.0308646
Iter 19080000, Residual:0.0290989
Iter 19120000, Residual:0.0290703
Iter 19160000, Residual:0.0329753
Iter 19200000, Residual:0.0288508
Iter 19240000, Residual:0.0304684
Iter 19280000, Residual:0.0304955
Iter 19320000, Residual:0.0285504
Iter 19360000, Residual:0.0299995
Iter 19400000, Residual:0.0264528
Iter 19440000, Residual:0.0283692
Iter 19480000, Residual:0.0319551
Iter 19520000, Residual:0.0266999
Iter 19560000, Residual:0.0319712
Iter 19600000, Residual:0.0270724
Iter 19640000, Residual:0.0331231
Iter 19680000, Residual:0.0256984
Iter 19720000, Residual:0.0285942
Iter 19760000, Residual:0.0292544
Iter 19800000, Residual:0.0349498
Iter 19840000, Residual:0.027035
Iter 19880000, Residual:0.0275343
Iter 19920000, Residual:0.0310995
Iter 19960000, Residual:0.0288193
Iter 20000000, Residual:0.0255032
Iter 20040000, Residual:0.0277051
Iter 20080000, Residual:0.0300356
Iter 20120000, Residual:0.0271684
Iter 20160000, Residual:0.0334297
Iter 20200000, Residual:0.0259524
Iter 20240000, Residual:0.0251683
Iter 20280000, Residual:0.0234491
Iter 20320000, Residual:0.0281605
Iter 20360000, Residual:0.0239194
Iter 20400000, Residual:0.0243418
Iter 20440000, Residual:0.023247
Iter 20480000, Residual:0.0229776
Iter 20520000, Residual:0.0298852
Iter 20560000, Residual:0.0228183
Iter 20600000, Residual:0.0263396
Iter 20640000, Residual:0.0225792
Iter 20680000, Residual:0.0265005
Iter 20720000, Residual:0.0255405
Iter 20760000, Residual:0.0213671
Iter 20800000, Residual:0.0205346
Iter 20840000, Residual:0.0221163
Iter 20880000, Residual:0.0214592
Iter 20920000, Residual:0.0240036
Iter 20960000, Residual:0.025437
Iter 21000000, Residual:0.0268707
Iter 21040000, Residual:0.0218506
Iter 21080000, Residual:0.0221703
Iter 21120000, Residual:0.0214843
Iter 21160000, Residual:0.0246854
Iter 21200000, Residual:0.021189
Iter 21240000, Residual:0.022472
Iter 21280000, Residual:0.0228648
Iter 21320000, Residual:0.0210415
Iter 21360000, Residual:0.022766
Iter 21400000, Residual:0.0224453
Iter 21440000, Residual:0.0206476
Iter 21480000, Residual:0.0227958
Iter 21520000, Residual:0.0201456
Iter 21560000, Residual:0.0216028
Iter 21600000, Residual:0.0246186
Iter 21640000, Residual:0.021794
Iter 21680000, Residual:0.0222148
Iter 21720000, Residual:0.0208933
Iter 21760000, Residual:0.0200722
Iter 21800000, Residual:0.0194166
Iter 21840000, Residual:0.0205391
Iter 21880000, Residual:0.0217341
Iter 21920000, Residual:0.0201482
Iter 21960000, Residual:0.0203808
Iter 22000000, Residual:0.0214845
Iter 22040000, Residual:0.0206732
Iter 22080000, Residual:0.0193479
Iter 22120000, Residual:0.019091
Iter 22160000, Residual:0.0188863
Iter 22200000, Residual:0.0187692
Iter 22240000, Residual:0.0198336
Iter 22280000, Residual:0.0183864
Iter 22320000, Residual:0.0196471
Iter 22360000, Residual:0.0195725
Iter 22400000, Residual:0.0183568
Iter 22440000, Residual:0.0177209
Iter 22480000, Residual:0.0184539
Iter 22520000, Residual:0.0178856
Iter 22560000, Residual:0.0188333
Iter 22600000, Residual:0.0182861
Iter 22640000, Residual:0.0180439
Iter 22680000, Residual:0.0180653
Iter 22720000, Residual:0.0191305
Iter 22760000, Residual:0.0180295
Iter 22800000, Residual:0.0189591
Iter 22840000, Residual:0.0180919
Iter 22880000, Residual:0.0175039
Iter 22920000, Residual:0.0182259
Iter 22960000, Residual:0.0172578
Iter 23000000, Residual:0.0174268
Iter 23040000, Residual:0.0176797
Iter 23080000, Residual:0.0165623
Iter 23120000, Residual:0.0164285
Iter 23160000, Residual:0.0167094
Iter 23200000, Residual:0.0174731
Iter 23240000, Residual:0.0180241
Iter 23280000, Residual:0.0165724
Iter 23320000, Residual:0.0160839
Iter 23360000, Residual:0.0164886
Iter 23400000, Residual:0.0166786
Iter 23440000, Residual:0.016115
Iter 23480000, Residual:0.0156724
Iter 23520000, Residual:0.0196817
Iter 23560000, Residual:0.0169118
Iter 23600000, Residual:0.016933
Iter 23640000, Residual:0.0173256
Iter 23680000, Residual:0.0163155
Iter 23720000, Residual:0.0174894
Iter 23760000, Residual:0.0162506
