*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 13920000, Residual:0.0232478
Iter 13960000, Residual:0.022338
Iter 14000000, Residual:0.0224518
Iter 14040000, Residual:0.0216201
Iter 14080000, Residual:0.0239911
Iter 14120000, Residual:0.0212729
Iter 14160000, Residual:0.0227355
Iter 14200000, Residual:0.0209567
Iter 14240000, Residual:0.0212746
Iter 14280000, Residual:0.0194502
Iter 14320000, Residual:0.0203679
Iter 14360000, Residual:0.0199968
Iter 14400000, Residual:0.0184014
Iter 14440000, Residual:0.0223668
Iter 14480000, Residual:0.0204774
Iter 14520000, Residual:0.0196653
Iter 14560000, Residual:0.0207265
Iter 14600000, Residual:0.0189646
Iter 14640000, Residual:0.0190079
Iter 14680000, Residual:0.0176788
Iter 14720000, Residual:0.0214159
Iter 14760000, Residual:0.0193686
Iter 14800000, Residual:0.0177804
Iter 14840000, Residual:0.0181668
Iter 14880000, Residual:0.0208724
Iter 14920000, Residual:0.0223361
Iter 14960000, Residual:0.0175987
Iter 15000000, Residual:0.0183732
Iter 15040000, Residual:0.0182438
Iter 15080000, Residual:0.0161669
Iter 15120000, Residual:0.0182824
Iter 15160000, Residual:0.017082
Iter 15200000, Residual:0.0197935
Iter 15240000, Residual:0.0167247
Iter 15280000, Residual:0.0146825
Iter 15320000, Residual:0.0153826
Iter 15360000, Residual:0.0168647
Iter 15400000, Residual:0.016023
Iter 15440000, Residual:0.0169771
Iter 15480000, Residual:0.0165655
Iter 15520000, Residual:0.0155161
Iter 15560000, Residual:0.0192437
Iter 15600000, Residual:0.0140963
Iter 15640000, Residual:0.0143337
Iter 15680000, Residual:0.0148092
Iter 15720000, Residual:0.0162875
Iter 15760000, Residual:0.0149225
Iter 15800000, Residual:0.0182019
Iter 15840000, Residual:0.0133624
Iter 15880000, Residual:0.0152294
Iter 15920000, Residual:0.0142786
Iter 15960000, Residual:0.0136755
Iter 16000000, Residual:0.0152536
Iter 16040000, Residual:0.0137205
Iter 16080000, Residual:0.013712
Iter 16120000, Residual:0.0126792
Iter 16160000, Residual:0.0135352
Iter 16200000, Residual:0.0130256
Iter 16240000, Residual:0.0134425
Iter 16280000, Residual:0.0119863
Iter 16320000, Residual:0.0126259
Iter 16360000, Residual:0.0146027
Iter 16400000, Residual:0.0120112
Iter 16440000, Residual:0.0126046
Iter 16480000, Residual:0.0124486
Iter 16520000, Residual:0.0138054
Iter 16560000, Residual:0.0121639
Iter 16600000, Residual:0.0121666
Iter 16640000, Residual:0.0138702
Iter 16680000, Residual:0.0117598
Iter 16720000, Residual:0.0117422
Iter 16760000, Residual:0.0116858
Iter 16800000, Residual:0.0120945
Iter 16840000, Residual:0.0123555
Iter 16880000, Residual:0.0108186
Iter 16920000, Residual:0.0122297
Iter 16960000, Residual:0.0106946
Iter 17000000, Residual:0.0120493
Iter 17040000, Residual:0.0116739
Iter 17080000, Residual:0.0122418
Iter 17120000, Residual:0.0113294
Iter 17160000, Residual:0.01101
Iter 17200000, Residual:0.0116698
Iter 17240000, Residual:0.0103663
Iter 17280000, Residual:0.0103447
Iter 17320000, Residual:0.00992055
Iter 17360000, Residual:0.0106025
Iter 17400000, Residual:0.0105539
Iter 17440000, Residual:0.0109095
Iter 17480000, Residual:0.0116452
Iter 17520000, Residual:0.00993134
Iter 17560000, Residual:0.00990954
Iter 17600000, Residual:0.0101652
Iter 17640000, Residual:0.00897675
Iter 17680000, Residual:0.009524
Iter 17720000, Residual:0.0107608
Iter 17760000, Residual:0.0105037
Iter 17800000, Residual:0.0105056
Iter 17840000, Residual:0.00942821
Iter 17880000, Residual:0.00948001
Iter 17920000, Residual:0.00917568
Iter 17960000, Residual:0.00928917
Iter 18000000, Residual:0.00942792
Iter 18040000, Residual:0.00862115
Iter 18080000, Residual:0.0088032
Iter 18120000, Residual:0.00796275
Iter 18160000, Residual:0.00961419
Iter 18200000, Residual:0.00890193
Iter 18240000, Residual:0.008168
Iter 18280000, Residual:0.00855216
Iter 18320000, Residual:0.0095605
Iter 18360000, Residual:0.0107978
Iter 18400000, Residual:0.00898678
Iter 18440000, Residual:0.00825106
Iter 18480000, Residual:0.00771295
Iter 18520000, Residual:0.00817833
Iter 18560000, Residual:0.00781841
Iter 18600000, Residual:0.00765715
Iter 18640000, Residual:0.00759292
Iter 18680000, Residual:0.00789603
Iter 18720000, Residual:0.00925334
